id,nom_structure,latitude,longitude,arrondissement_propose,methode,confiance
399,Délégation régionale de la promotion de la femme et de la famille pour l'adamaoua ,7.315196,13.579667,Ngaoundere 1,nominatim,haute
400,Délégation régionale de la promotion de la femme et de la famille pour l'adamaoua ,7.315196,13.579667,Ngaoundere 1,nominatim,haute
401,Délégation départementale des Affaires sociales ,7.328473,13.565549,Ngaoundere 1,nominatim,haute
402,APROSPEN,7.324132,13.578220,Ngaoundere 2,nominatim,haute
403,APROSPEN,7.325856,13.575689,Ngaoundere 2,nominatim,haute
404,Centre de promotion de la femme et de la famille ,7.317545,13.578220,Ngaoundere 1,nominatim,haute
405,Centre de promotion de la femme et de la famille ,7.319707,13.582921,Ngaoundere 2,nominatim,haute
406,Centre de santé intégré de sabogari,7.330497,13.585453,Ngaoundere 2,nominatim,haute
407,Centre de promotion de la femme et de la famille ,7.318489,13.579667,Ngaoundere 1,nominatim,haute
408,APROSPEN ,7.325815,13.575610,Ngaoundere 2,nominatim,haute
409,CENTRE D'ECOUTE DES ENFANTS DANS LA RUE( CEDER),7.320049,13.571712,Ngaoundere 1,nominatim,haute
410,Centre médical camail ,7.338411,13.590667,Ngaoundere 2,nominatim,haute
411,Tribunal de première instance de Ngaoundéré ,7.319214,13.577497,Ngaoundere 1,nominatim,haute
412,CMPJ Départemental de la vina,7.311079,13.585091,Ngaoundere 1,nominatim,haute
413,ORPHELINAT PORTEUR D'AMOUR,7.338535,13.581113,Ngaoundere 2,nominatim,haute
414,COMMISSARIAT 1ER ndéré 1,7.310860,13.581475,Ngaoundere 1,nominatim,haute
415,CMPJ Départemental de la vina,7.311046,13.586176,Ngaoundere 1,nominatim,haute
416,Clinique slamique,7.328161,13.575689,Ngaoundere 2,nominatim,haute
417,COMMISSARIAT de Sécurité publique Ngaoudéré 1,7.303562,13.572435,Ngaoundere 1,nominatim,haute
418,Centre Social de Ngaoundéré 2ème ,7.327113,13.573173,Ngaoundere 2,nominatim,haute
419,Centre Social de Ngaoundéré 2ème ,7.327113,13.573173,Ngaoundere 2,nominatim,haute
420,CMPJ Régionale de la vina,7.311046,13.586176,Ngaoundere 1,nominatim,haute
421,MAITRE KASSIA,7.320241,13.578498,Ngaoundere 1,nominatim,haute
422,CMPJ Régionale de la VINA,7.306722,13.587623,Ngaoundere 1,nominatim,haute
423,CAIRE AND SAID,7.326337,13.581475,Ngaoundere 2,nominatim,haute
424,Cabinet maître KOULAGNA,7.321437,13.579340,Ngaoundere 2,nominatim,haute
425,FOYER ST ANGES GARDIENS ndéré 1,7.288528,13.579667,Ngaoundere 1,nominatim,haute
426,FOYER ST ANGES GARDIENS ndéré 1,7.284645,13.577497,Ngaoundere 1,nominatim,haute
427,Groupement Mobile d'Intervention N°9,7.317545,13.578220,Ngaoundere 1,nominatim,haute
428,Union santé ,7.322551,13.579395,Ngaoundere 2,nominatim,haute
435,Service de l'action sociale auprès de la prison centrale de Ngaoundere,7.312551,13.580028,Ngaoundere 1,nominatim,haute
436,L'infirmerie de la prison,7.313538,13.580028,Ngaoundere 1,nominatim,haute
437,CENTRE Mgr YVES PLUMEY,7.282374,13.576412,Ngaoundere 1,nominatim,haute
438,Mairie Ndéré 2,7.357114,13.587623,Ngaoundere 2,nominatim,haute
439,Service de l'action sociale auprès du commissariat central,7.320325,13.574773,Ngaoundere 1,nominatim,haute
440,Service de l'action sociale auprès du commissariat central de Ngaoundere,7.320329,13.574775,Ngaoundere 1,nominatim,haute
441,Centre de santé privé da Sare dama,7.294454,13.579667,Ngaoundere 1,nominatim,haute
442,CMPJ Ngaoundere 2,7.331806,13.574966,Ngaoundere 2,nominatim,haute
443,Centre de santé privé ALKAWAL DJAMOU,7.298898,13.574243,Ngaoundere 1,nominatim,haute
444,CHR,7.322707,13.560141,Ngaoundere 1,nominatim,haute
445,CMPJ Ngaoundere 2,7.331081,13.577136,Ngaoundere 2,nominatim,haute
446,Cabinet sanitaire la reférénce casar,7.334823,13.588008,Ngaoundere 2,nominatim,haute
447,Délégation d'arrondissement de la jeunesse de Ngaoundere 2,7.328931,13.575328,Ngaoundere 2,nominatim,haute
448,Centre de santé AMAL,7.306097,13.575689,Ngaoundere 1,nominatim,haute
449,Centre de santé privé Alexis Marie Atangana ,7.309819,13.572435,Ngaoundere 1,nominatim,haute
450,STAR OF HOPE Foundation,7.303618,13.559780,Ngaoundere 1,nominatim,haute
451,ZAMYIR,7.315196,13.579667,Ngaoundere 1,nominatim,haute
452,STAR OF HOPE FOUNDATION ,7.337651,13.556164,Ngaoundere 2,nominatim,haute
453,Service d'action sociale auprès des tribunaux de la vina,7.316524,13.578271,Ngaoundere 1,nominatim,haute
454,STAR OF HOPE FOUNDATION ,7.317549,13.534835,Ngaoundere 1,nominatim,haute
455,Communauté Urbaine de Ngaoundéré 1er ,7.315171,13.579386,Ngaoundere 1,nominatim,haute
456,Centre de santé intégré de boumdjéré,7.314690,13.585453,Ngaoundere 1,nominatim,haute
457,Service d'action sociale auprès près des tribunaux de Ngaoundere et la vina,7.316523,13.578272,Ngaoundere 1,nominatim,haute
458,Centre de santé de l'espoir,7.310527,13.603174,Ngaoundere 2,nominatim,haute
459,Service d'action sociale auprès du lycée classique de Ngaoundere ,7.318939,13.575689,Ngaoundere 1,nominatim,haute
460,AGAPE ,7.313444,13.615471,Ngaoundere 2,nominatim,haute
461,AGAPE,7.306879,13.625600,Ngaoundere 2,nominatim,haute
462,AREWA MEDICARE (ndéré 1),7.335271,13.587910,Ngaoundere 2,nominatim,haute
463,Délégation départementale de la promotion de la femme et de la famille (Nderé 2),7.318654,13.578868,Ngaoundere 1,nominatim,haute
464,Délégation Départementale de la promotion de la Femme et de la Famille de la VINA,7.318654,13.578868,Ngaoundere 1,nominatim,haute
465,"AJLC (ASSOCIATION DES JEUNES POIR LA LUTTE CONTRE LES MALADIES, LA POLLUTION DE L'ENVIRONNEMENT ET DE LA NATURE) ndéré 1",7.303673,13.565870,Ngaoundere 1,nominatim,haute
466,CENTRE MULTI- FONTIONNEL DE PROMOTION DES JEUNES (CMPJ) ndere 1,7.314294,13.587623,Ngaoundere 1,nominatim,haute
467,DÉLÉGATION D'ARRONDISSEMENT DE LA JEUNESSE( ndere1),7.314294,13.587623,Ngaoundere 1,nominatim,haute
